iter	Passed	Remaining
0	1	161
1	2	146
2	4	146
3	5	142
4	7	142
5	9	143
6	10	142
7	13	154
8	15	154
9	16	152
10	18	150
11	20	148
12	22	151
13	24	148
14	28	160
15	30	161
16	32	158
17	34	155
18	35	152
19	37	149
20	38	146
21	42	149
22	48	161
23	51	164
24	54	163
25	61	174
26	63	170
27	64	165
28	66	162
29	68	159
30	70	156
31	76	161
32	78	158
33	84	164
34	94	175
35	98	175
36	109	186
37	111	181
38	113	177
39	115	173
40	127	183
41	130	180
42	132	176
43	144	184
44	150	184
45	152	179
46	154	174
47	171	185
48	173	180
49	190	190
50	192	184
51	199	184
52	202	179
53	204	173
54	205	168
55	207	162
56	210	158
57	212	153
58	223	155
59	230	153
60	233	149
61	235	144
62	238	140
63	240	135
64	256	138
65	266	137
66	269	132
67	281	132
68	283	127
69	285	122
70	287	117
71	292	113
72	295	109
73	297	104
74	299	99
75	302	95
76	304	90
77	310	87
78	312	82
79	313	78
80	315	74
81	318	70
82	320	65
83	324	61
84	326	57
85	328	53
86	336	50
87	338	46
88	341	42
89	342	38
90	347	34
91	350	30
92	354	26
93	356	22
94	367	19
95	369	15
96	372	11
97	380	7
98	396	4
99	408	0
