iter	Passed	Remaining
0	1	1781
1	3	1623
2	4	1534
3	6	1525
4	7	1506
5	9	1564
6	10	1552
7	12	1535
8	13	1516
9	15	1507
10	16	1493
11	18	1482
12	19	1474
13	20	1466
14	22	1461
15	23	1465
16	25	1475
17	26	1472
18	28	1466
19	29	1458
20	31	1456
21	32	1451
22	34	1446
23	35	1442
24	38	1494
25	40	1510
26	42	1516
27	43	1511
28	45	1507
29	46	1509
30	48	1513
31	49	1506
32	51	1506
33	55	1579
34	57	1579
35	58	1574
36	60	1573
37	61	1568
38	63	1559
39	64	1551
40	66	1543
41	67	1536
42	69	1547
43	71	1550
44	72	1546
45	74	1550
46	77	1580
47	79	1583
48	81	1579
49	85	1616
50	86	1615
51	88	1610
52	89	1605
53	91	1601
54	92	1595
55	94	1590
56	95	1585
57	97	1582
58	100	1596
59	101	1593
60	103	1588
61	104	1582
62	106	1578
63	107	1574
64	109	1569
65	110	1565
66	112	1562
67	114	1568
68	116	1567
69	117	1563
70	119	1564
71	121	1561
72	122	1559
73	125	1565
74	127	1575
75	129	1575
76	131	1573
77	132	1569
78	134	1567
79	136	1568
80	138	1565
81	139	1560
82	140	1548
83	141	1542
84	143	1545
85	145	1541
86	146	1537
87	147	1532
88	149	1529
89	151	1530
90	152	1526
91	154	1522
92	155	1516
93	157	1514
94	158	1514
95	160	1511
96	161	1506
97	163	1501
98	164	1496
99	165	1491
100	167	1486
101	168	1482
102	169	1477
103	170	1473
104	173	1476
105	174	1475
106	176	1471
107	177	1468
108	179	1463
109	180	1459
110	181	1455
111	183	1451
112	184	1447
113	185	1443
114	187	1442
115	189	1440
116	190	1434
117	191	1431
118	192	1427
119	194	1423
120	195	1420
121	196	1414
122	197	1411
123	199	1407
124	200	1403
125	202	1402
126	203	1398
127	205	1396
128	206	1393
129	207	1389
130	208	1386
131	210	1382
132	211	1379
133	212	1375
134	214	1372
135	215	1369
136	217	1368
137	219	1368
138	220	1366
139	221	1363
140	223	1360
141	224	1354
142	225	1351
143	226	1348
144	228	1345
145	229	1342
146	230	1339
147	233	1343
148	234	1341
149	236	1339
150	237	1337
151	239	1335
152	240	1333
153	242	1332
154	243	1329
155	245	1330
156	251	1348
157	252	1347
158	254	1345
159	256	1344
160	257	1339
161	258	1337
162	260	1335
163	261	1334
164	264	1336
165	265	1335
166	267	1335
167	269	1334
168	272	1339
169	309	1513
170	312	1516
171	314	1515
172	316	1515
173	318	1513
174	320	1512
175	322	1510
176	325	1514
177	328	1515
178	330	1514
179	335	1528
180	337	1527
181	345	1551
182	347	1549
183	349	1548
184	350	1546
185	352	1544
186	359	1560
187	361	1559
188	362	1557
189	364	1555
190	366	1552
191	368	1550
192	370	1549
193	373	1551
194	375	1549
195	379	1554
196	389	1585
197	390	1582
198	392	1578
199	393	1574
200	395	1570
201	418	1653
202	420	1651
203	422	1647
204	423	1644
205	425	1639
206	427	1635
207	428	1632
208	430	1628
209	431	1624
210	433	1619
211	434	1616
212	436	1613
213	437	1608
214	439	1603
215	440	1598
216	441	1594
217	443	1589
218	444	1584
219	445	1580
220	447	1578
221	450	1578
222	452	1575
223	453	1571
224	455	1567
225	456	1563
226	458	1559
227	459	1556
228	461	1552
229	462	1548
230	465	1549
231	467	1547
232	470	1548
233	472	1546
234	473	1542
235	475	1538
236	476	1534
237	477	1529
238	479	1526
239	481	1523
240	482	1519
241	483	1515
242	485	1511
243	486	1507
244	487	1503
245	489	1498
246	490	1494
247	491	1490
248	493	1486
249	494	1484
250	496	1481
251	497	1478
252	499	1474
253	500	1470
254	501	1466
255	503	1462
256	504	1458
257	505	1454
258	507	1451
259	508	1447
260	510	1446
261	512	1443
262	513	1439
263	514	1435
264	516	1431
265	517	1427
266	518	1424
267	519	1420
268	521	1417
269	523	1414
270	524	1411
271	526	1408
272	527	1405
273	529	1402
274	530	1398
275	532	1396
276	533	1393
277	535	1390
278	536	1386
279	537	1383
280	539	1380
281	541	1378
282	543	1376
283	544	1373
284	546	1371
285	548	1369
286	550	1367
287	551	1364
288	554	1365
289	556	1362
290	558	1359
291	560	1358
292	562	1356
293	563	1353
294	565	1350
295	566	1347
296	568	1344
297	570	1343
298	571	1340
299	573	1337
300	574	1334
301	576	1331
302	577	1328
303	579	1325
304	580	1323
305	582	1320
306	584	1319
307	587	1320
308	589	1317
309	590	1314
310	592	1312
311	593	1309
312	595	1306
313	596	1303
314	597	1300
315	599	1298
316	601	1295
317	603	1293
318	604	1290
319	609	1294
320	610	1291
321	612	1288
322	613	1286
323	615	1284
324	617	1282
325	619	1280
326	620	1277
327	622	1275
328	626	1277
329	627	1274
330	631	1276
331	633	1274
332	634	1271
333	637	1270
334	638	1268
335	640	1265
336	641	1262
337	642	1259
338	644	1256
339	646	1254
340	647	1251
341	649	1248
342	650	1245
343	651	1243
344	653	1240
345	655	1238
346	656	1235
347	658	1232
348	659	1230
349	661	1228
350	662	1225
351	664	1222
352	665	1220
353	667	1218
354	669	1215
355	670	1213
356	671	1210
357	673	1207
358	675	1206
359	677	1203
360	678	1201
361	679	1198
362	681	1196
363	683	1194
364	684	1191
365	686	1188
366	687	1186
367	690	1185
368	691	1182
369	693	1180
370	694	1177
371	696	1175
372	698	1173
373	699	1170
374	700	1168
375	702	1165
376	703	1162
377	705	1160
378	706	1157
379	708	1155
380	709	1152
381	711	1150
382	712	1148
383	714	1145
384	715	1143
385	717	1140
386	718	1138
387	720	1136
388	721	1133
389	723	1131
390	724	1128
391	725	1126
392	727	1123
393	728	1120
394	729	1118
395	731	1115
396	732	1112
397	733	1110
398	735	1108
399	737	1105
400	738	1103
401	740	1100
402	741	1098
403	742	1095
404	743	1092
405	745	1090
406	746	1087
407	747	1084
408	752	1087
409	753	1084
410	755	1082
411	756	1080
412	758	1077
413	759	1075
414	761	1073
415	762	1070
416	764	1068
417	766	1067
418	768	1065
419	770	1063
420	772	1061
421	773	1059
422	777	1060
423	779	1058
424	781	1057
425	784	1056
426	785	1054
427	787	1052
428	788	1049
429	790	1047
430	791	1044
431	792	1042
432	794	1040
433	796	1038
434	797	1036
435	799	1033
436	801	1032
437	803	1030
438	804	1028
439	806	1025
440	807	1023
441	809	1021
442	810	1019
443	812	1017
444	813	1014
445	814	1012
446	816	1009
447	817	1007
448	818	1004
449	820	1002
450	821	999
451	822	997
452	824	995
453	826	994
454	828	992
455	829	990
456	831	987
457	832	985
458	834	983
459	835	980
